         924 function calls (887 primitive calls) in 0.042 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2709(_amin_dispatcher)
        7    0.000    0.000    0.000    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/codecs.py:275(reset)
        3    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        5    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/site-packages/numpy/core/shape_base.py:136(_atleast_3d_dispatcher)
        2    0.000    0.000    0.000    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2100(_sum_dispatcher)
        5    0.000    0.000    0.000    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/site-packages/numpy/core/multiarray.py:1043(copyto)
        1    0.000    0.000    0.000    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/site-packages/numpy/core/multiarray.py:143(concatenate)
        5    0.000    0.000    0.000    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/codecs.py:213(setstate)


